Log name,Algorithm,#Relations,#Activities,Size,Density,NonSeparability,Constraint Variability,Runtime
RTFMP,Choice,22.0,11.0,33.0,2.0,0.9696969696969698,0.7695756163983518,3.8538930416107178
RTFMP,Group,16.0,14.0,30.0,1.4,0.7333333333333334,1.0,6.37426495552063
RTFMP,Choice+Group,16.0,14.0,30.0,1.4,0.7333333333333334,1.0,3.807389736175537
SEPSIS,Flat,91.0,16.0,107.0,6.0,0.9813084112149533,0.9067816913292784,0.1336417198181152
SEPSIS,Choice,59.0,17.0,76.0,3.625,0.9736842105263159,1.0,0.074594497680664
SEPSIS,Group,32.0,22.0,54.0,2.066666666666667,0.8518518518518519,0.9629004147713268,0.1172099113464355
SEPSIS,Choice+Group,27.0,24.0,51.0,1.4666666666666666,0.8235294117647058,0.976020648236615,0.0827362537384033
pdc2019,Flat,397.6,40.0,437.6,9.85245480022949,0.9973241952365639,0.616558323469645,0.0625801801681518
pdc2019,Choice,264.3,46.4,310.7,6.075151862689044,0.9853294854866792,0.7028030418605615,0.07200179100036616
pdc2019,Group,116.2,61.3,177.5,2.325361680466509,0.9250777572894027,0.9376995778472921,0.14623894691467282
pdc2019,Choice+Group,127.9,66.0,193.9,2.3530365530617634,0.9247943312888035,0.8777799753675517,0.12409052848815913
pdc2020,Flat,60.9375,24.083333333333332,85.02083333333333,2.6325369164380628,0.8829054644766682,0.8291856093699187,0.20088978235920266
pdc2020,Choice,58.161458333333336,24.645833333333332,82.80729166666667,2.4859111361466817,0.8729039462016465,0.8290691909097666,0.19612924878795937
pdc2020,Group,30.932291666666668,32.755208333333336,63.6875,1.3048231115290145,0.7446664009067158,0.860466499306769,0.2715228932599226
pdc2020,Choice+Group,30.739583333333332,33.692708333333336,64.43229166666667,1.2508276502492814,0.7396505203439384,0.8633977531244775,0.21352966378132499
pdc2021,Flat,604.4270833333334,47.25,651.6770833333334,12.466572260164778,0.998118668125828,0.5955116934452259,0.16433948725461958
pdc2021,Choice,563.3583333333333,50.34791666666667,613.70625,11.068601431566192,0.9970947500536309,0.615185103803554,0.16980102906624472
pdc2021,Group,140.60625,78.06875,218.675,2.0431785211861255,0.9435701419540684,0.9141049485168534,0.2847270747025807
pdc2021,Choice+Group,166.05625,99.52291666666666,265.57916666666665,1.9114487242434284,0.952135050477827,0.9247777907329243,0.18973510712385175
pdc2022,Flat,54.59583333333333,13.25,67.84583333333333,4.205078105785827,0.9594498596243788,0.40185342792396306,0.041072155535221054
pdc2022,Choice,39.547916666666666,14.39375,53.94166666666667,2.883317757520544,0.9327539856570707,0.48543760827171045,0.039417397975921586
pdc2022,Group,20.204166666666666,18.904166666666665,39.108333333333334,1.4590299455800595,0.784756599239452,0.5990686467521265,0.06652379035949703
pdc2022,Choice+Group,19.385416666666668,19.579166666666666,38.96458333333333,1.2801989315786093,0.7616510528608232,0.6352142902988602,0.04029210557540253
pdc2023,Flat,89.33333333333333,25.875,115.20833333333333,3.5024274307622445,0.9551531749364104,0.7816651406267242,0.21858828576902545
pdc2023,Choice,68.61458333333333,27.755208333333332,96.36979166666667,2.6932698345540285,0.9278251126335317,0.7912850979578657,0.21036178556581334
pdc2023,Group,41.9375,36.291666666666664,78.22916666666667,1.4595725281987129,0.8240453255040361,0.8838208405262423,0.3205554423232873
pdc2023,Choice+Group,39.71875,38.098958333333336,77.81770833333333,1.311887713974687,0.8070440613299833,0.8937230478983232,0.2188584245741367
