Log name,Algorithm,TP,FP,TN,FN,F1-PDC,F1,BAC,MCC,Training Fitness,Size,Density,Separability,Co-Separability,Constraint Variability,#Relations,#Nestings,#InNActivities,#Activities,Runtime
RTFMP,config 0,,,,,,,,,,33,2.0,0.030303030303030304,0.030303030303030276,0.7695756163983518,22,0,0,11,4.473369359970093
RTFMP,config 1,,,,,,,,,,33,2.0,0.030303030303030304,0.030303030303030276,0.7695756163983518,22,0,0,11,3.8538930416107178
RTFMP,config 2,,,,,,,,,,30,1.4,0.26666666666666666,0.2666666666666666,1.0,16,3,9,14,6.37426495552063
RTFMP,config 3,,,,,,,,,,30,1.4,0.26666666666666666,0.2666666666666666,1.0,16,3,9,14,3.807389736175537
BPIC17_f,config 0,,,,,,,,,,82,3.5555555555555554,0.012195121951219513,0.012195121951219523,0.8612137953365822,64,0,0,18,5.557043790817261
BPIC17_f,config 1,,,,,,,,,,80,3.3333333333333335,0.025,0.025000000000000022,0.8616716593057652,61,1,2,19,5.171402215957642
BPIC17_f,config 2,,,,,,,,,,74,2.0,0.02702702702702703,0.027027027027026973,0.875,49,7,16,25,7.388516664505005
BPIC17_f,config 3,,,,,,,,,,73,1.9583333333333333,0.0273972602739726,0.0273972602739726,0.8631465140909278,48,7,17,25,5.096886396408081
BPIC13_i,config 0,,,,,,,,,,10,1.5,0.1,0.09999999999999998,1.0,6,0,0,4,0.36438560485839844
BPIC13_i,config 1,,,,,,,,,,10,1.5,0.1,0.09999999999999998,1.0,6,0,0,4,0.4600086212158203
BPIC13_i,config 2,,,,,,,,,,9,1.0,0.4444444444444444,0.4444444444444444,1.0,3,2,4,6,0.7830767631530762
BPIC13_i,config 3,,,,,,,,,,9,1.0,0.4444444444444444,0.4444444444444444,1.0,3,2,4,6,0.3637540340423584
BPIC15_1f,config 0,,,,,,,,,,545,6.785714285714286,0.001834862385321101,0.0018348623853210455,0.8228955330595922,475,0,0,70,0.26922106742858887
BPIC15_1f,config 1,,,,,,,,,,518,5.876712328767123,0.017374517374517374,0.01737451737451734,0.8552089198707196,437,11,22,81,0.34987926483154297
BPIC15_1f,config 2,,,,,,,,,,349,2.237623762376238,0.025787965616045846,0.025787965616045794,1.0,237,42,101,112,0.41097402572631836
BPIC15_1f,config 3,,,,,,,,,,416,3.1956521739130435,0.036057692307692304,0.03605769230769229,1.0,309,37,87,107,0.38846492767333984
BPIC15_3f,config 0,,,,,,,,,,761,11.274193548387096,0.001314060446780552,0.0013140604467805073,0.4955715719421996,699,0,0,62,0.6052837371826172
BPIC15_3f,config 1,,,,,,,,,,730,9.647058823529411,0.005479452054794521,0.005479452054794498,0.5093871555316682,659,9,18,71,0.6179947853088379
BPIC15_3f,config 2,,,,,,,,,,299,2.271604938271605,0.05016722408026756,0.050167224080267525,0.9182958340544896,202,35,87,97,0.8482811450958252
BPIC15_3f,config 3,,,,,,,,,,498,4.179775280898877,0.030120481927710843,0.030120481927710885,0.5217425908726885,390,46,93,108,0.5863349437713623
BPIC15_4f,config 0,,,,,,,,,,587,8.03076923076923,0.0017035775127768314,0.0017035775127768327,0.821803794578658,522,0,0,65,0.37003493309020996
BPIC15_4f,config 1,,,,,,,,,,570,7.323529411764706,0.005263157894736842,0.0052631578947368585,0.8271412661752168,500,5,10,70,0.4566190242767334
BPIC15_4f,config 2,,,,,,,,,,305,2.1204819277108435,0.04590163934426229,0.04590163934426228,1.0,202,38,91,103,0.5365352630615234
BPIC15_4f,config 3,,,,,,,,,,355,2.5238095238095237,0.05070422535211268,0.05070422535211272,1.0,245,45,98,110,0.4775412082672119
BPIC14_f,config 0,,,,,,,,,,36,3.0,0.027777777777777776,0.02777777777777779,0.9990102708804813,27,0,0,9,2.1268415451049805
BPIC14_f,config 1,,,,,,,,,,36,3.0,0.027777777777777776,0.02777777777777779,0.9990102708804813,27,0,0,9,2.10512638092041
BPIC14_f,config 2,,,,,,,,,,19,1.6,0.3684210526315789,0.368421052631579,1.0,8,2,7,11,3.228769063949585
BPIC14_f,config 3,,,,,,,,,,19,1.6,0.3684210526315789,0.368421052631579,1.0,8,2,7,11,2.3321709632873535
BPIC15_5f,config 0,,,,,,,,,,647,7.743243243243243,0.0015455950540958269,0.0015455950540957941,0.7946568737667989,573,0,0,74,0.3995664119720459
BPIC15_5f,config 1,,,,,,,,,,628,7.105263157894737,0.011146496815286623,0.011146496815286677,0.8153820911909858,546,8,16,82,0.41774415969848633
BPIC15_5f,config 2,,,,,,,,,,354,2.1881188118811883,0.025423728813559324,0.025423728813559365,0.9808340377961403,240,40,103,114,0.578669548034668
BPIC15_5f,config 3,,,,,,,,,,464,3.1923076923076925,0.028017241379310345,0.028017241379310387,0.9463946303571863,347,43,101,117,0.4600381851196289
BPIC12,config 0,,,,,,,,,,156,5.5,0.00641025641025641,0.0064102564102563875,0.5949390911843346,132,0,0,24,1.829219102859497
BPIC12,config 1,,,,,,,,,,134,4.153846153846154,0.007462686567164179,0.007462686567164201,0.6577245988102587,108,2,5,26,1.8122587203979492
BPIC12,config 2,,,,,,,,,,91,1.9642857142857142,0.054945054945054944,0.05494505494505497,0.7818622422409109,59,8,20,32,2.715007781982422
BPIC12,config 3,,,,,,,,,,101,1.90625,0.039603960396039604,0.03960396039603964,0.768854662555293,65,12,24,36,1.6316399574279785
BPIC15_2f,config 0,,,,,,,,,,984,11.0,0.0010162601626016261,0.00101626016260159,0.6398139551210602,902,0,0,82,0.3422682285308838
BPIC15_2f,config 1,,,,,,,,,,965,10.235294117647058,0.0062176165803108805,0.006217616580310836,0.6475628644687345,875,8,16,90,0.36351442337036133
BPIC15_2f,config 2,,,,,,,,,,512,2.9523809523809526,0.015625,0.015625,0.7183897763232803,379,51,117,133,0.6108770370483398
BPIC15_2f,config 3,,,,,,,,,,577,3.188976377952756,0.03119584055459272,0.03119584055459268,1.0,429,66,131,148,0.48493170738220215
SEPSIS,config 0,,,,,,,,,,107,6.0,0.018691588785046728,0.01869158878504673,0.9067816913292785,91,0,0,16,0.13364171981811523
SEPSIS,config 1,,,,,,,,,,76,3.625,0.02631578947368421,0.02631578947368418,1.0,59,1,5,17,0.07459449768066406
SEPSIS,config 2,,,,,,,,,,54,2.066666666666667,0.14814814814814814,0.14814814814814814,0.9629004147713269,32,6,14,22,0.11720991134643555
SEPSIS,config 3,,,,,,,,,,51,1.4666666666666666,0.17647058823529413,0.17647058823529416,0.976020648236615,27,8,17,24,0.08273625373840332
BPIC13_cp,config 0,,,,,,,,,,8,1.0,0.125,0.125,0.8112781244591328,4,0,0,4,0.042243003845214844
BPIC13_cp,config 1,,,,,,,,,,8,1.0,0.125,0.125,0.8112781244591328,4,0,0,4,0.04326128959655762
BPIC13_cp,config 2,,,,,,,,,,8,0.5,0.375,0.375,-0.0,3,1,2,5,0.06773519515991211
BPIC13_cp,config 3,,,,,,,,,,8,0.5,0.375,0.375,-0.0,3,1,2,5,0.08884525299072266
Dreyers,config 0,,,,,,,,,,301,8.121212121212121,0.0033222591362126247,0.0033222591362126463,0.5336583115583025,268,0,0,33,0.050991058349609375
Dreyers,config 1,,,,,,,,,,301,8.121212121212121,0.0033222591362126247,0.0033222591362126463,0.5336583115583025,268,0,0,33,0.05254769325256348
Dreyers,config 2,,,,,,,,,,161,2.3777777777777778,0.043478260869565216,0.04347826086956519,0.6664446424850199,109,19,46,52,0.14047908782958984
Dreyers,config 3,,,,,,,,,,177,1.9464285714285714,0.04519774011299435,0.04519774011299438,0.6629097742386354,112,32,59,65,0.0651400089263916
BPIC19,config 0,,,,,,,,,,641,14.261904761904763,0.0015600624024961,0.0015600624024960652,0.3193234032326675,599,0,0,42,13.254997253417969
BPIC19,config 1,,,,,,,,,,549,11.2,0.0018214936247723133,0.0018214936247723523,0.36072128777857393,504,3,7,45,12.259627103805542
BPIC19,config 2,,,,,,,,,,287,3.253731343283582,0.010452961672473868,0.010452961672473893,0.4799623634445172,218,27,56,69,19.092331886291504
BPIC19,config 3,,,,,,,,,,291,2.9452054794520546,0.013745704467353952,0.013745704467353903,0.4898817830839437,215,34,64,76,12.865528106689453
BPIC17,config 0,,,,,,,,,,145,4.576923076923077,0.006896551724137931,0.006896551724137945,0.74420902388431,119,0,0,26,8.65549373626709
BPIC17,config 1,,,,,,,,,,135,4.0,0.007407407407407408,0.007407407407407418,0.761838726450198,108,1,2,27,9.167148351669312
BPIC17,config 2,,,,,,,,,,107,1.7837837837837838,0.028037383177570093,0.028037383177570097,0.8336007162925265,67,14,30,40,12.992565155029297
BPIC17,config 3,,,,,,,,,,110,1.794871794871795,0.01818181818181818,0.018181818181818188,0.8256304004199861,70,14,30,40,8.536190271377563
