Algorithm,#Relations,#Activities,Size,Density,Separability,NonSeparability,Constraint Variability,Runtime
Flat,237.41293213828425,28.519846350832267,265.9327784891165,6.433271741902114,0.038711312680402094,0.9612886873195979,0.612091996067343,0.16734354001459173
Choice,213.66773367477592,30.42829705505762,244.09603072983356,5.347551832277117,0.05538964209272212,0.9446103579072779,0.6469949152796098,0.16538715133593723
Group,65.44750320102433,43.68181818181818,109.1293213828425,1.6304088933670906,0.1600161885510505,0.8399838114489495,0.802415528089015,0.25874013479479446
Choice+Group,72.81882202304737,51.10819462227913,123.9270166453265,1.494180521703354,0.16929632497917343,0.8307036750208265,0.8191096487559004,0.17628819979107177
